,precision,recall,f1-score,support
0,1.0,1.0,1.0,134338.0
1,1.0,1.0,1.0,138260.0
2,1.0,1.0,1.0,41975.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,314573.0
weighted avg,1.0,1.0,1.0,314573.0
