,precision,recall,f1-score,support
0,1.0,1.0,1.0,108365.0
1,1.0,1.0,1.0,205674.0
2,1.0,1.0,1.0,534.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,314573.0
weighted avg,1.0,1.0,1.0,314573.0
