,precision,recall,f1-score,support
0,0.995332233615847,0.9999099556185097,0.9976158432399653,1732479.0
1,0.9993677555321391,0.9681046531714748,0.9834878192753784,254708.0
accuracy,0.9958333060753719,0.9958333060753719,0.9958333060753719,0.9958333060753719
macro avg,0.997349994573993,0.9840073043949922,0.9905518312576719,1987187.0
weighted avg,0.9958494872594422,0.9958333060753719,0.9958049815908241,1987187.0
