,precision,recall,f1-score,support
0,0.9911749817260264,0.9364557186010946,0.9630386978316519,3955950.0
1,0.9843814904045859,0.9990364115967865,0.991654810439856,83023.0
2,0.8521739130434782,0.6086956521739131,0.7101449275362318,161.0
3,0.9642857142857143,0.6585365853658537,0.782608695652174,82.0
4,0.9997269389860335,0.9997522161484276,0.9997395774074551,197753.0
5,0.8764478764478765,0.920892494929006,0.8981206726013847,493.0
6,0.9991020526233322,0.9988733039307836,0.9989876651823106,165972.0
7,0.999750664893617,0.9995845105534319,0.9996675808194133,12034.0
8,0.9999327263757456,0.9999850495234536,0.9999588872651435,133775.0
9,0.7637786636433457,0.5184578337181301,0.6176505382704367,40281.0
10,0.45533352923890685,0.9935876883616543,0.6244836272040302,3119.0
11,0.7180846428675167,0.884553456419064,0.7926733466933867,55896.0
12,0.055149849899611934,0.30448936170212765,0.09338549330653556,47000.0
13,0.01675977653631285,0.6428571428571429,0.032667876588021776,28.0
14,0.9999814818244107,0.9997408079386826,0.9998611303985558,54014.0
accuracy,0.9346439191162336,0.9346439191162336,0.9346439191162336,0.9346439191162336
macro avg,0.778404286853101,0.8310332155879702,0.7669762351464392,4749581.0
weighted avg,0.977278169524442,0.9346439191162336,0.954088477092149,4749581.0
