,precision,recall,f1-score,support
0,0.9998777511647597,0.9647914090863416,0.9820212827456788,228893.0
1,0.9140024756701383,0.9996848739495798,0.9549255262219052,85680.0
accuracy,0.9742953146010624,0.9742953146010624,0.9742953146010624,0.9742953146010624
macro avg,0.956940113417449,0.9822381415179607,0.9684734044837919,314573.0
weighted avg,0.9764879700825335,0.9742953146010624,0.9746412329036487,314573.0
