,precision,recall,f1-score,support
0,0.9869921877937097,0.9998400463104016,0.9933745766880451,131288.0
1,0.9998373933377728,1.0,0.9999186900581172,129125.0
2,0.0,0.0,0.0,1730.0
accuracy,0.9933204396073898,0.9933204396073898,0.9933204396073898,0.9933204396073898
macro avg,0.6622765270438274,0.6666133487701339,0.6644310889153874,262143.0
weighted avg,0.986805803572098,0.9933204396073898,0.9900423138438731,262143.0
