,precision,recall,f1-score,support
0,0.999660878133678,0.9993667323388685,0.9995137835953143,156332.0
1,0.9990647760658247,0.9994991068981486,0.9992818942872801,105811.0
accuracy,0.9994201638037254,0.9994201638037254,0.9994201638037254,0.9994201638037254
macro avg,0.9993628270997513,0.9994329196185086,0.9993978389412972,262143.0
weighted avg,0.9994202684057751,0.9994201638037254,0.9994201841493157,262143.0
