,precision,recall,f1-score,support
0,0.9997583742401506,0.9999968199554158,0.9998775828819534,314461.0
1,0.9090909090909091,0.29411764705882354,0.4444444444444445,68.0
2,0.9,0.2903225806451613,0.4390243902439024,31.0
3,0.6,0.23076923076923078,0.33333333333333337,13.0
accuracy,0.9997425080982792,0.9997425080982792,0.9997425080982792,0.9997425080982792
macro avg,0.8522123208327649,0.45380156960715784,0.5541699377259084,314573.0
weighted avg,0.9997124238372339,0.9997425080982792,0.9996747015868973,314573.0
