,precision,recall,f1-score,support
0,0.9999777408204733,0.9999968200565394,0.999987280347501,314471.0
1,0.9682539682539683,0.9384615384615385,0.953125,65.0
2,0.9259259259259259,0.9615384615384616,0.9433962264150944,26.0
3,1.0,0.5454545454545454,0.7058823529411764,11.0
accuracy,0.9999650319639638,0.9999650319639638,0.9999650319639638,0.9999650319639638
macro avg,0.9735394087500919,0.8613628413777712,0.900597714925943,314573.0
weighted avg,0.999965066027808,0.9999650319639638,0.9999626356074047,314573.0
