,precision,recall,f1-score,support
0,0.9999431368346463,1.0,0.9999715676089452,228606.0
1,1.0,0.9998487791827096,0.9999243838739887,85967.0
accuracy,0.99995867413923,0.99995867413923,0.99995867413923,0.99995867413923
macro avg,0.9999715684173232,0.9999243895913548,0.999947975741467,314573.0
weighted avg,0.9999586764891492,0.99995867413923,0.9999586731642759,314573.0
