,precision,recall,f1-score,support
0,1.0,1.0,1.0,131836.0
1,1.0,1.0,1.0,130307.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,262143.0
weighted avg,1.0,1.0,1.0,262143.0
