,precision,recall,f1-score,support
0,0.9996883962582114,1.0,0.9998441738511001,314404.0
1,1.0,0.3113207547169811,0.4748201438848921,106.0
2,1.0,0.7045454545454546,0.8266666666666667,44.0
3,1.0,0.3684210526315789,0.5384615384615384,19.0
accuracy,0.9996884665880416,0.9996884665880416,0.9996884665880416,0.9996884665880416
macro avg,0.9999220990645529,0.5960718154735036,0.7099481307160493,314573.0
weighted avg,0.9996885636630184,0.9996884665880416,0.9996151693670379,314573.0
