,precision,recall,f1-score,support
0,1.0,0.9996488607126213,0.9998243995261981,156633.0
1,0.9995073984956708,1.0,0.9997536385688296,105510.0
2,0.0,0.0,0.0,0.0
accuracy,0.9997901908500322,0.9997901908500322,0.9997901908500322,0.9997901908500322
macro avg,0.6665024661652236,0.6665496202375404,0.6665260126983426,262143.0
weighted avg,0.9998017327003895,0.9997901908500322,0.99979591893121,262143.0
