,precision,recall,f1-score,support
0,0.9997615125825962,0.9999809168195971,0.9998712026649917,314413.0
1,0.9347826086956522,0.4174757281553398,0.5771812080536913,103.0
2,0.9230769230769231,0.782608695652174,0.8470588235294118,46.0
3,1.0,0.5454545454545454,0.7058823529411764,11.0
accuracy,0.9997425080982792,0.9997425080982792,0.9997425080982792,0.9997425080982792
macro avg,0.9644052610887929,0.6863799715204141,0.7824983967973178,314573.0
weighted avg,0.9997290314260571,0.9997425080982792,0.999700176174377,314573.0
