,precision,recall,f1-score,support
0,0.8863999819171239,0.9611342928745182,0.9222556046165695,163203.0
1,0.08851846529673804,0.02973116463149766,0.04451188669701568,20719.0
accuracy,0.8562107850066876,0.8562107850066876,0.8562107850066876,0.8562107850066876
macro avg,0.48745922360693095,0.4954327287530079,0.4833837456567926,183922.0
weighted avg,0.7965178191369356,0.8562107850066876,0.8233768837915719,183922.0
