,precision,recall,f1-score,support
0,0.99988174348254,0.9999961848370162,0.9999389608853724,262112.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,31.0
accuracy,0.9998779292218369,0.9998779292218369,0.9998779292218369,0.9998779292218369
macro avg,0.33329391449418,0.33333206161233875,0.3333129869617908,262143.0
weighted avg,0.9997635014007451,0.9998779292218369,0.9998207120372725,262143.0
