,precision,recall,f1-score,support
0,1.0,1.0,1.0,130947.0
1,1.0,1.0,1.0,131196.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,262143.0
weighted avg,1.0,1.0,1.0,262143.0
